MBTI,original_sentence,masked_sentence,
ENFJ,단체사진 찍을 때 네가 가운데 서는 게 좋을 것 같아. 네가 제일 잘 어울리잖아.,단체사진 찍을 때 네가 가운데 서는 게 좋을 것 같아. 네가 제일 [MASK]잖아.,
ENFP,오늘 날씨 진짜 좋다! 갑자기 자전거 타고 싶어졌어.,오늘 날씨 진짜 좋다! 갑자기 자전거 [MASK]고 싶어졌어.,
ENFP,이런 작은 디테일이 분위기를 바꾸는 거야. 진짜 신기하지 않아?,이런 작은 디테일이 분위기를 바꾸는 거야. 진짜 [MASK]하지 않아?,
ENFP,갑자기 떠나는 여행이 제일 재밌는 거 알지? 오늘 밤 바로 떠나볼래?,갑자기 떠나는 여행이 제일 재밌는 거 알지? 오늘 밤 바로 [MASK]볼래?,
ENFP,"네가 말한 그 아이디어, 듣자마자 너무 재밌었어. 빨리 실행해보자!","네가 말한 그 아이디어, 듣자마자 너무 [MASK]었어. 빨리 실행해보자!",
ENTJ,우리가 지금 이 작업을 먼저 끝내야 해. 그래야 큰 그림을 맞출 수 있어.,우리가 지금 이 작업을 먼저 [MASK]야 해. 그래야 큰 그림을 맞출 수 있어.,
ENTJ,회의는 10분 내로 끝내자. 시간 낭비하면 안 되잖아.,회의는 10분 내로 [MASK]자. 시간 낭비하면 안 되잖아.,
ENTJ,너가 맡은 부분은 확실히 해둬야 해. 그래야 팀 전체가 잘 돌아가.,너가 맡은 부분은 확실히 [MASK]야 해. 그래야 팀 전체가 잘 돌아가.,
ENTJ,결정은 빠르게 내려야 효율적이야. 시간 끌면 손해잖아.,결정은 빠르게 내려야 [MASK]적이야. 시간 끌면 손해잖아.,
ENTP,이런 기발한 아이디어 어디서 나왔어? 진짜 창의적이다!,이런 기발한 아이디어 어디서 나왔어? 진짜 [MASK]적이다!,
ENTP,이건 단순한 문제가 아니야. 다양한 접근 방식이 필요해.,이건 단순한 문제가 아니야. 다양한 [MASK] 방식이 필요해.,
ENTP,실패해도 새로운 걸 배울 수 있잖아. 그게 더 중요한 거야.,실패해도 새로운 걸 배울 수 있잖아. 그게 더 [MASK] 거야.,
ENTP,그렇게 고정관념에 갇히면 안 돼. 다르게 생각해보자!,그렇게 고정관념에 갇히면 안 돼. 다르게 [MASK]보자!,
ENFJ,내일 그 모임에서 네 의견 좀 내줘. 네가 설명하면 다들 잘 이해할 거야.,내일 그 모임에서 네 의견 좀 내줘. 네가 [MASK]하면 다들 잘 이해할 거야.,
ENFJ,새로운 팀원들한테 먼저 인사하자. 분위기 잘 풀리게 도와줘야지.,새로운 팀원들한테 먼저 인사하자. 분위기 잘 [MASK]게 도와줘야지.,
ENFJ,너 진짜 요즘 대단해 보인다. 내가 좀 자랑하고 다녀도 돼?,너 진짜 요즘 대단해 보인다. 내가 좀 [MASK]하고 다녀도 돼?,
ENFJ,이번에 프로젝트 잘 끝나면 다 같이 저녁 먹자. 분위기 좋아질 것 같아.,이번에 프로젝트 잘 끝나면 다 같이 [MASK] 먹자. 분위기 좋아질 것 같아.,
ENFP,너랑 얘기하다 보니까 시간 가는 줄 몰랐어. 진짜 재밌었어!,너랑 얘기하다 보니까 시간 가는 줄 몰랐어. 진짜 [MASK]었어!,
ENFP,오늘 날씨 너무 좋다! 그냥 갑자기 바다 보러 가고 싶다.,오늘 날씨 너무 좋다! 그냥 갑자기 바다 [MASK]고 싶다.,
ENFP,갑자기 이런 생각이 들었어. 너라면 이해할 것 같아서 얘기해봐.,갑자기 이런 생각이 들었어. 너라면 [MASK]할 것 같아서 얘기해봐.,
ENFP,이건 너랑 같이 해야 재밌을 것 같아. 네가 빠지면 허전하잖아.,이건 너랑 같이 해야 재밌을 것 같아. 네가 [MASK]면 허전하잖아.,
ENTJ,이건 우리가 우선순위를 정해야 할 일이야. 효율적으로 나눠서 끝내자.,이건 우리가 우선순위를 [MASK]야 할 일이야. 효율적으로 나눠서 끝내자.,
ENTJ,회의 자료는 미리 준비하자. 그래야 시간 낭비 없이 진행할 수 있어.,회의 자료는 미리 준비하자. 그래야 시간 낭비 없이 [MASK]할 수 있어.,
ENTJ,목표가 분명해야 팀이 잘 움직일 수 있어. 그게 제일 중요하잖아.,목표가 분명해야 팀이 잘 [MASK] 수 있어. 그게 제일 중요하잖아.,
ENTJ,이 부분은 내가 책임지고 할게. 대신 넌 다른 걸 맡아줘.,이 부분은 내가 책임지고 [MASK]. 대신 넌 다른 걸 맡아줘.,
ENTP,이 아이디어 진짜 재밌다! 더 발전시켜보자.,이 아이디어 진짜 [MASK]! 더 발전시켜보자.,
ENTP,이런 상황에서는 새로운 접근법이 필요해. 기존 방식으론 부족하잖아.,이런 상황에서는 새로운 [MASK]이 필요해. 기존 방식으론 부족하잖아.,
ENTP,질문 하나만 해도 돼? 너라면 이걸 어떻게 해결할지 궁금해서.,질문 하나만 해도 돼? 너라면 이걸 어떻게 [MASK]할지 궁금해서.,
ENTP,그렇게 틀에 박힌 생각은 재미없어. 좀 다르게 접근해보자.,그렇게 틀에 박힌 생각은 재미없어. 좀 다르게 [MASK]보자.,
ENFJ,오늘 발표 진짜 잘했더라. 네가 정말 멋져 보였어.,오늘 발표 진짜 잘했더라. 네가 정말 [MASK] 보였어.,
ENFJ,내가 알아볼게. 네가 힘들어 보이니까 조금이라도 도와주고 싶어.,내가 알아볼게. 네가 힘들어 보이니까 조금이라도 [MASK]고 싶어.,
ENFJ,그 친구 요즘 힘들어 보이더라. 우리 같이 한 번 찾아가 볼까?,그 친구 요즘 힘들어 보이더라. 우리 같이 한 번 [MASK]가 볼까?,
ENFJ,이번에 다 같이 여행 가면 어떨까? 계획은 내가 짜볼게.,이번에 다 같이 여행 가면 어떨까? 계획은 내가 [MASK]볼게.,
ENFP,저 가게 진짜 맛있어 보이지 않아? 가볼까?,저 가게 진짜 맛있어 보이지 않아? [MASK]까?,
ENFP,네가 이런 아이디어를 생각해낼 줄이야. 진짜 신기하다!,네가 이런 아이디어를 생각해낼 줄이야. 진짜 [MASK]다!,
ENFP,"갑자기 떠오른 생각인데, 이걸 네가 같이 해보면 어때?","갑자기 떠오른 생각인데, 이걸 네가 같이 [MASK]면 어때?",
ENFP,지금 기분 좋으니까 무작정 드라이브 가고 싶다. 바람 쐬자!,지금 기분 좋으니까 무작정 드라이브 가고 싶다. 바람 [MASK]자!,
ENTJ,이런 문제는 체계적으로 해결해야 돼. 내가 순서 정해볼게.,이런 문제는 체계적으로 해결해야 돼. 내가 [MASK] 정해볼게.,
ENTJ,시간이 촉박하니까 우선순위부터 정하자. 그래야 효율적일 거야.,시간이 촉박하니까 우선순위부터 [MASK]. 그래야 효율적일 거야.,
ENTJ,그건 이미 확인했으니까 다음 단계로 넘어가자. 준비는 됐어?,그건 이미 확인했으니까 다음 단계로 [MASK]자. 준비는 됐어?,
ENTJ,이 회의는 꼭 필요한 내용만 다루자. 시간 낭비하지 않게.,이 회의는 꼭 필요한 내용만 [MASK]자. 시간 낭비하지 않게.,
ENTP,이거 좀 이상하지 않아? 다른 방식으로 해보자.,이거 좀 이상하지 않아? 다른 방식으로 [MASK]보자.,
ENTP,새로운 아이디어 떠오르는데? 빨리 얘기해보고 싶어.,새로운 아이디어 떠오르는데? 빨리 [MASK]보고 싶어.,
ENTP,그 얘기 진짜 재밌다! 더 파고들어 보면 흥미로울 것 같아.,그 얘기 진짜 재밌다! 더 [MASK]들어 보면 흥미로울 것 같아.,
ENTP,틀에 박힌 방식은 싫어. 그냥 새로운 시도를 해보자.,틀에 박힌 방식은 싫어. 그냥 새로운 [MASK]을 해보자.,
ENFJ,내일 프로젝트 발표 같이 준비할까? 네가 잘 이끌어주면 될 것 같아.,내일 프로젝트 발표 같이 준비할까? 네가 잘 [MASK]주면 될 것 같아.,
ENFJ,어제 봤던 영화 어땠어? 네가 좋아할 줄 알았어.,어제 봤던 영화 어땠어? 네가 [MASK]할 줄 알았어.,
ENFJ,오늘 팀원들 다 고생 많았어. 다들 진짜 최고였어.,오늘 팀원들 다 고생 많았어. 다들 진짜 [MASK]였어.,
ENFJ,그거 어렵지 않지? 내가 도와줄 테니까 같이 해보자.,그거 어렵지 않지? 내가 [MASK]줄 테니까 같이 해보자.,
ENFP,이 가게 너무 예쁘지 않아? 갑자기 가보고 싶다.,이 가게 너무 예쁘지 않아? 갑자기 [MASK]고 싶다.,
ENFP,저기서 음악 소리 들려? 진짜 신나는 분위기야!,저기서 음악 소리 들려? 진짜 [MASK]는 분위기야!,
ENFP,새로운 카페를 발견했어! 이번 주말에 같이 갈래?,새로운 카페를 발견했어! 이번 주말에 같이 [MASK]래?,
ENFP,그 아이디어 진짜 괜찮다! 뭔가 해볼 수 있을 것 같아.,그 아이디어 진짜 괜찮다! 뭔가 [MASK]볼 수 있을 것 같아.,
ENTJ,회의는 딱 30분 안에 끝내자. 시간 효율이 중요하니까.,회의는 딱 30분 안에 끝내자. 시간 [MASK]이 중요하니까.,
ENTJ,이 기획안 다시 검토해야 할 것 같아. 효율적으로 고쳐보자.,이 기획안 다시 검토해야 할 것 같아. [MASK]적으로 고쳐보자.,
ENTJ,결과물은 미리 준비해 두자. 그래야 문제가 없을 거야.,결과물은 미리 준비해 두자. 그래야 [MASK]가 없을 거야.,
ENTJ,저번에 계획했던 거 어떻게 돼가? 일정 점검 좀 해볼까?,저번에 계획했던 거 어떻게 돼가? 일정 [MASK] 좀 해볼까?,
ENTP,그거 진짜 재밌겠다! 나도 한 번 시도해보고 싶어.,그거 진짜 재밌겠다! 나도 한 번 [MASK]해보고 싶어.,
ENTP,왜 그 생각을 못했지? 진짜 기발하다!,왜 그 생각을 못했지? 진짜 [MASK]하다!,
ENTP,새로운 프로젝트에 도전해 보자. 재미있을 것 같아!,새로운 프로젝트에 도전해 보자. [MASK]있을 것 같아!,
ENTP,그거 좀 더 깊이 파고들어볼래? 뭔가 흥미로운 게 나올지도 몰라.,그거 좀 더 깊이 [MASK]들어볼래? 뭔가 흥미로운 게 나올지도 몰라.,
ENFJ,우리 동아리 사람들 진짜 열심히 한다. 다들 한 번씩 칭찬해 줘야겠어.,우리 동아리 사람들 진짜 열심히 한다. 다들 한 번씩 [MASK]해 줘야겠어.,
ENFJ,이번 행사 준비는 내가 맡을게. 네가 맡은 부분은 어때?,이번 행사 준비는 내가 맡을게. 네가 맡은 [MASK]은 어때?,
ENFJ,친구가 힘들어 보였어. 내가 먼저 연락해 보는 게 좋겠지?,친구가 힘들어 보였어. 내가 먼저 [MASK]해 보는 게 좋겠지?,
ENFJ,회의 끝나고 다 같이 밥 먹으러 갈래? 분위기 좀 풀어야 할 것 같아.,회의 끝나고 다 같이 밥 먹으러 갈래? 분위기 좀 [MASK]야 할 것 같아.,
ENFP,오늘 날씨 너무 좋다. 가까운 공원이라도 나갈래?,오늘 날씨 너무 좋다. 가까운 [MASK]이라도 나갈래?,
ENFP,저 가게 봐봐! 뭔가 독특하지 않아? 한 번 들어가 보자.,저 가게 봐봐! 뭔가 [MASK]하지 않아? 한 번 들어가 보자.,
ENFP,요즘 재밌는 드라마 하나 추천해 줘. 심심할 때 볼 거 찾고 있어.,요즘 재밌는 드라마 하나 [MASK]해 줘. 심심할 때 볼 거 찾고 있어.,
ENFP,내일은 계획 없이 그냥 돌아다녀 볼까? 가끔 즉흥적으로 움직이는 것도 좋잖아.,내일은 계획 없이 그냥 [MASK]다녀 볼까? 가끔 즉흥적으로 움직이는 것도 좋잖아.,
ENTJ,이번 달 목표는 다 정리됐어? 효율적으로 진행되는 게 중요하니까.,이번 달 목표는 다 [MASK]됐어? 효율적으로 진행되는 게 중요하니까.,
ENTJ,우리 팀 전략 다시 점검해 보자. 더 나은 방법이 있을지도 몰라.,우리 팀 전략 다시 [MASK]해 보자. 더 나은 방법이 있을지도 몰라.,
ENTJ,시간이 없으니까 각자 맡은 부분 바로 시작하자. 결과가 중요하잖아.,시간이 없으니까 각자 맡은 부분 바로 [MASK]하자. 결과가 중요하잖아.,
ENTJ,이건 내가 처리할게. 너는 다른 중요한 일부터 끝내도록 해.,이건 내가 처리할게. 너는 다른 [MASK]한 일부터 끝내도록 해.,
ENTP,새로운 아이디어 생각났어. 우리 같이 브레인스토밍 해 볼래?,새로운 아이디어 생각났어. 우리 같이 [MASK] 해 볼래?,
ENTP,그거 진짜 흥미롭다. 좀 더 알아보면 재밌는 게 나올 것 같아.,그거 진짜 흥미롭다. 좀 더 [MASK]보면 재밌는 게 나올 것 같아.,
ENTP,"저기 신기한 가게 보이지? 그냥 지나칠 수 없지, 한 번 들어가 보자.","저기 신기한 가게 보이지? 그냥 [MASK]칠 수 없지, 한 번 들어가 보자.",
ENTP,"그 주제 재밌다. 토론하면 재밌을 것 같은데, 어떻게 생각해?","그 주제 재밌다. 토론하면 [MASK]을 것 같은데, 어떻게 생각해?",
ENFJ,내일 발표 준비 다 됐어? 내가 도와줄까?,내일 발표 준비 다 됐어? 내가 [MASK]줄까?,
ENFJ,팀원들하고 오늘 같이 밥 먹자. 다들 고생 많았잖아.,팀원들하고 오늘 같이 [MASK] 먹자. 다들 고생 많았잖아.,
ENFJ,"네가 힘들어 보이는데, 잠깐 이야기할까?","네가 힘들어 보이는데, 잠깐 [MASK]할까?",
ENFJ,주말에 봉사활동 같이 갈래? 네가 잘할 것 같아.,주말에 봉사활동 같이 [MASK]래? 네가 잘할 것 같아.,
ENFP,오늘 날씨 너무 좋다. 자전거 타고 한강 갈래?,오늘 날씨 너무 좋다. 자전거 타고 [MASK] 갈래?,
ENFP,내가 재밌는 가게 하나 발견했어. 내일 같이 가볼래?,내가 재밌는 가게 하나 [MASK]했어. 내일 같이 가볼래?,
ENFP,새로운 취미 하나 찾아볼까? 요즘 뭔가 재미있는 게 필요해.,새로운 취미 하나 [MASK]볼까? 요즘 뭔가 재미있는 게 필요해.,
ENFP,이야기 너무 재밌다. 다음에 또 만나서 더 얘기하자.,이야기 너무 재밌다. 다음에 또 만나서 더 [MASK]하자.,
ENTJ,프로젝트 목표는 명확해야 해. 일단 계획부터 세우자.,프로젝트 목표는 [MASK]해야 해. 일단 계획부터 세우자.,
ENTJ,내일까지 결과 보고서 정리할 수 있지? 효율이 중요하잖아.,내일까지 결과 보고서 [MASK]할 수 있지? 효율이 중요하잖아.,
ENTJ,그건 내가 처리할게. 대신 너는 다른 중요한 거 먼저 해.,그건 내가 처리할게. 대신 너는 다른 [MASK]한 거 먼저 해.,
ENTJ,회의 시간 줄이고 바로 실행으로 넘어가자. 시간 절약이 핵심이야.,회의 시간 [MASK]고 바로 실행으로 넘어가자. 시간 절약이 핵심이야.,
ENTP,새로운 아이디어 생각났어! 바로 시작해 볼래?,새로운 아이디어 [MASK]났어! 바로 시작해 볼래?,
ENTP,그 얘기 흥미롭다. 좀 더 이야기해 보면 어때?,그 얘기 흥미롭다. 좀 더 [MASK]해 보면 어때?,
ENTP,이 영화 스토리 진짜 독특하다. 다음에도 이런 거 찾아보자.,이 영화 스토리 진짜 [MASK]하다. 다음에도 이런 거 찾아보자.,
ENTP,이 주제 재밌네. 우리 토론 좀 더 깊게 해 볼까?,이 주제 재밌네. 우리 토론 좀 더 [MASK] 해 볼까?,
ENFJ,오늘 모임에서 분위기 너무 좋더라. 다음에도 또 보자.,오늘 모임에서 분위기 너무 [MASK]더라. 다음에도 또 보자.,
ENFJ,요즘 힘들어 보여서 걱정했어. 괜찮으면 얘기 좀 나눌까?,요즘 힘들어 보여서 걱정했어. 괜찮으면 얘기 좀 [MASK]?,
ENFJ,프로젝트 방향은 이렇게 잡자. 모두 의견 잘 냈어.,프로젝트 방향은 이렇게 [MASK]. 모두 의견 잘 냈어.,
ENFJ,네가 잘 해낼 거라고 믿어. 옆에서 계속 응원할게.,네가 잘 해낼 거라고 [MASK]. 옆에서 계속 응원할게.,
ENFP,갑자기 여행 가고 싶어. 다음 주말 어때?,갑자기 여행 가고 싶어. 다음 주말 [MASK]?,
ENFP,이 노래 너무 신난다. 같이 춤출래?,이 노래 너무 [MASK]. 같이 춤출래?,
ENFP,새로운 메뉴 도전해 보자. 이번엔 좀 특별한 걸로!,새로운 메뉴 도전해 보자. 이번엔 좀 [MASK]한 걸로!,
ENFP,이거 너무 웃기다. 너랑 같이 보니까 더 재밌어.,이거 너무 [MASK]. 너랑 같이 보니까 더 재밌어.,
ENTJ,오늘은 주요 목표 정리부터 하자. 효율이 중요하잖아.,오늘은 주요 목표 [MASK]부터 하자. 효율이 중요하잖아.,
ENTJ,이건 내일 바로 실행에 옮기자. 시간 낭비는 안 돼.,이건 내일 바로 [MASK]. 시간 낭비는 안 돼.,
ENTJ,모든 옵션을 정리했어. 이제 결정만 하면 돼.,모든 옵션을 [MASK]. 이제 결정만 하면 돼.,
ENTJ,큰 그림은 내가 그릴게. 세부 사항은 나중에 조율하자.,큰 그림은 내가 [MASK]. 세부 사항은 나중에 조율하자.,
ENTP,새로운 토론 주제 찾았어. 진짜 흥미로워 보이지 않아?,새로운 토론 주제 [MASK]. 진짜 흥미로워 보이지 않아?,
ENTP,이 아이디어 좀 괜찮지 않아? 바로 테스트해 보자.,이 아이디어 좀 [MASK]지 않아? 바로 테스트해 보자.,
ENTP,이런 독특한 생각은 처음이야. 계속 이야기해 보자.,이런 독특한 생각은 [MASK]. 계속 이야기해 보자.,
ENTP,다음엔 더 참신한 시도 해 보자. 우리한테 딱 맞아.,다음엔 더 참신한 시도 [MASK]. 우리한테 딱 맞아.,
ENFJ,오늘 발표 너무 잘했어. 다들 네 얘기에 집중하더라.,오늘 발표 너무 [MASK]. 다들 네 얘기에 집중하더라.,
ENFJ,시간 괜찮으면 잠깐 얘기할래? 네 의견이 필요해.,시간 괜찮으면 잠깐 [MASK]? 네 의견이 필요해.,
ENFJ,이번에 새로 온 팀원 잘 챙겨야겠어. 적응하는 데 도움 되게.,이번에 새로 온 팀원 잘 [MASK]. 적응하는 데 도움 되게.,
ENFJ,그 얘기 듣고 감동했어. 정말 진심이 느껴졌어.,그 얘기 듣고 [MASK]. 정말 진심이 느껴졌어.,
ENFP,오늘 날씨 진짜 좋다. 바로 피크닉 가자.,오늘 날씨 진짜 [MASK]. 바로 피크닉 가자.,
ENFP,이런 기회는 자주 안 와. 당장 신청해 보자.,이런 기회는 자주 안 [MASK]. 당장 신청해 보자.,
ENFP,이거 너무 신기하지 않아? 새로운 걸 찾은 기분이야.,이거 너무 [MASK]지 않아? 새로운 걸 찾은 기분이야.,
ENFP,그냥 즉흥적으로 영화 보러 가자. 계획은 필요 없잖아.,그냥 즉흥적으로 영화 보러 가자. [MASK]는 필요 없잖아.,
ENTJ,이번 프로젝트 목표는 명확해. 효율적으로 진행하자.,이번 프로젝트 목표는 [MASK]. 효율적으로 진행하자.,
ENTJ,지금 바로 실행할 수 있는 방안부터 시작하자. 단계적으로 가면 돼.,지금 바로 실행할 수 있는 [MASK]부터 시작하자. 단계적으로 가면 돼.,
ENTJ,데이터는 다 정리했어. 이제 분석만 하면 돼.,데이터는 다 [MASK]. 이제 분석만 하면 돼.,
ENTJ,회의는 30분 안에 끝내자. 시간 낭비는 싫으니까.,회의는 30분 안에 [MASK]. 시간 낭비는 싫으니까.,
ENTP,새로운 아이디어 떠올랐어. 한번 시도해 볼 만하지 않아?,새로운 아이디어 떠올랐어. 한번 [MASK]해 볼 만하지 않아?,
ENTP,이 주제 너무 흥미로워. 같이 얘기 좀 더 해 보자.,이 주제 너무 [MASK]. 같이 얘기 좀 더 해 보자.,
ENTP,실패하더라도 괜찮아. 새로운 걸 배울 기회니까.,실패하더라도 괜찮아. 새로운 걸 [MASK] 기회니까.,
ENTP,이건 좀 색다르게 접근해 보자. 뭔가 재미있을 것 같아.,이건 좀 색다르게 [MASK]해 보자. 뭔가 재미있을 것 같아.,
ENFJ,내일 모임 준비는 다 됐어? 너한테 도움 될 만한 자료 줄게.,내일 모임 준비는 다 됐어? 너한테 도움 될 만한 [MASK] 줄게.,
ENFJ,네가 먼저 얘기 시작해 줘. 네 말이 다들 큰 힘이 될 거야.,네가 먼저 얘기 시작해 줘. 네 말이 다들 큰 [MASK]이 될 거야.,
ENFJ,사람들 잘 챙기고 있지? 네가 있으면 분위기가 좋아져.,사람들 잘 챙기고 있지? 네가 있으면 [MASK]가 좋아져.,
ENFJ,어려운 상황 있으면 언제든 말해. 같이 해결해 보자.,어려운 상황 있으면 언제든 말해. 같이 [MASK]해 보자.,
ENFP,갑자기 여행 가고 싶지 않아? 이번 주말 완전 딱인데.,갑자기 여행 가고 싶지 않아? 이번 주말 완전 [MASK]인데.,
ENFP,"이 노래 너무 신나! 같이 춤추자, 지금 바로!","이 노래 너무 [MASK]! 같이 춤추자, 지금 바로!",
ENFP,새로운 음식점 발견했어. 거기 메뉴 완전 독특하더라!,새로운 음식점 발견했어. 거기 메뉴 완전 [MASK]하더라!,
ENFP,너한테 딱 맞는 아이디어 생각났어. 한번 해 보면 어때?,너한테 딱 맞는 아이디어 생각났어. 한번 [MASK] 보면 어때?,
ENTJ,오늘 일정은 꽉 찼어. 그래도 시간 안에 다 끝내자.,오늘 일정은 꽉 찼어. 그래도 시간 안에 다 [MASK].,
ENTJ,계획을 세웠으니까 이제 실행만 하면 돼. 뒤는 내가 맡을게.,계획을 세웠으니까 이제 [MASK]만 하면 돼. 뒤는 내가 맡을게.,
ENTJ,효율적으로 일하려면 분업이 중요해. 나눠서 진행하자.,효율적으로 일하려면 [MASK]이 중요해. 나눠서 진행하자.,
ENTJ,이 문제는 데이터로 접근하자. 근거를 확실히 해야 설득되지.,이 문제는 데이터로 접근하자. 근거를 확실히 해야 [MASK].,
ENTP,이거 재밌어 보이는데? 새로운 방법으로 시도해 보자.,이거 재밌어 보이는데? 새로운 방법으로 [MASK]해 보자.,
ENTP,그렇게 하지 말고 색다르게 해 보자. 뭔가 더 재미있게.,그렇게 하지 말고 색다르게 해 보자. 뭔가 더 [MASK].,
ENTP,논쟁은 괜찮아. 서로 배울 수 있는 기회라고 생각해.,논쟁은 괜찮아. 서로 [MASK] 수 있는 기회라고 생각해.,
ENTP,이 아이디어는 좀 더 발전시킬 수 있을 것 같아. 같이 얘기해 보자.,이 아이디어는 좀 더 발전시킬 수 있을 것 같아. 같이 [MASK]해 보자.,
ENFJ,우리 팀 잘하고 있어? 오늘 다들 너무 고생했어.,우리 팀 잘하고 있어? 오늘 다들 너무 [MASK]했어.,
ENFJ,네가 정말 열심히 했잖아. 너한테 정말 감동받았어.,네가 정말 열심히 했잖아. 너한테 정말 [MASK]받았어.,
ENFJ,다음번에는 더 좋은 기회가 있을 거야. 내가 도와줄게.,다음번에는 더 좋은 기회가 있을 거야. 내가 [MASK]줄게.,
ENFJ,오늘 발표 정말 좋았어. 다들 네 말에 감동받았어.,오늘 발표 정말 좋았어. 다들 네 말에 [MASK]받았어.,
ENFP,오늘 날씨 너무 좋다! 그냥 나가서 걷고 싶어지네.,오늘 날씨 너무 [MASK]! 그냥 나가서 걷고 싶어지네.,
ENFP,이 책 너무 재밌어 보여. 한번 같이 읽어볼래?,이 책 너무 [MASK]보여. 한번 같이 읽어볼래?,
ENFP,"새로운 카페 생겼던데, 거기 메뉴 완전 특별하대.","새로운 카페 생겼던데, 거기 메뉴 완전 [MASK]하대.",
ENFP,즉흥적으로 드라이브 갈래? 지금 완전 딱 좋은 날씨야.,즉흥적으로 드라이브 갈래? 지금 완전 [MASK] 날씨야.,
ENTJ,회의 시작하기 전에 자료 다 확인했어? 철저히 준비하자.,회의 시작하기 전에 자료 다 확인했어? 철저히 [MASK].,
ENTJ,목표는 분명하니까 이제 방법만 잘 정하면 돼. 효율적으로 하자.,목표는 분명하니까 이제 방법만 잘 정하면 돼. [MASK]적으로 하자.,
ENTJ,이 프로젝트는 시간이 중요해. 일단 계획부터 세우자.,이 프로젝트는 시간이 중요해. 일단 [MASK]부터 세우자.,
ENTJ,결과는 중요하니까 중간 점검 확실히 하자. 진행 상황 보고해.,결과는 중요하니까 중간 점검 확실히 하자. 진행 상황 [MASK].,
ENTP,이 아이디어 어때? 색다른 방식으로 접근해보면 재밌을 것 같아.,이 아이디어 어때? 색다른 방식으로 접근해보면 [MASK] 것 같아.,
ENTP,새로운 기술 한번 테스트해볼래? 재밌는 결과 나올지도 몰라.,새로운 기술 한번 [MASK]해볼래? 재밌는 결과 나올지도 몰라.,
ENTP,이런 얘기 나누는 거 좋아. 서로 배우는 기회가 되잖아.,이런 얘기 나누는 거 좋아. 서로 [MASK]는 기회가 되잖아.,
ENTP,이 문제에 대해 좀 더 파고들어 보자. 더 좋은 해답 있을 거야.,이 문제에 대해 좀 더 [MASK] 보자. 더 좋은 해답 있을 거야.,
ENFJ,오늘 회의에서 다들 의견 많이 냈어. 분위기 정말 좋았어.,오늘 회의에서 다들 의견 많이 냈어. 분위기 정말 [MASK].,
ENFJ,네가 도와줘서 진짜 큰 힘이 됐어. 항상 고맙다.,네가 도와줘서 진짜 큰 힘이 됐어. 항상 [MASK].,
ENFJ,다음 주에 발표 준비 같이 하자. 네가 있어서 든든해.,다음 주에 발표 준비 같이 하자. 네가 있어서 [MASK].,
ENFJ,어제 그 이야기가 계속 떠올라. 정말 감동적인 순간이었어.,어제 그 이야기가 계속 떠올라. 정말 [MASK] 순간이었어.,
ENFP,새로운 맛집 생겼던데 가볼래? 사진 보니까 완전 맛있어 보이더라.,새로운 맛집 생겼던데 가볼래? 사진 보니까 완전 [MASK] 보이더라.,
ENFP,이번 주말에 갑자기 떠나볼까? 즉흥적인 게 때론 재밌잖아.,이번 주말에 갑자기 떠나볼까? [MASK]적인 게 때론 재밌잖아.,
ENFP,그 영화 어제 봤는데 진짜 웃겼어. 너도 꼭 봐야 해.,그 영화 어제 봤는데 진짜 [MASK]. 너도 꼭 봐야 해.,
ENFP,새로운 취미 시작해볼까 생각 중이야. 뭔가 신나는 거 없을까?,새로운 취미 시작해볼까 생각 중이야. 뭔가 [MASK] 거 없을까?,
ENTJ,프로젝트 진행 상황 체크했어? 지금부터는 디테일하게 해야 해.,프로젝트 진행 상황 체크했어? 지금부터는 [MASK]하게 해야 해.,
ENTJ,우리 팀 강점 잘 살리면 목표 달성할 수 있어. 실행력이 중요하잖아.,우리 팀 강점 잘 살리면 목표 달성할 수 있어. [MASK]력이 중요하잖아.,
ENTJ,효율적으로 진행하려면 일정 조율부터 하자. 우선순위가 필요해.,효율적으로 진행하려면 일정 [MASK]부터 하자. 우선순위가 필요해.,
ENTJ,이번 일 끝내면 다음 단계 바로 준비하자. 시간 낭비하면 안 돼.,이번 일 끝내면 다음 단계 바로 준비하자. 시간 [MASK]하면 안 돼.,
ENTP,이 아이디어 재밌는데? 한번 더 발전시켜 보자.,이 아이디어 재밌는데? 한번 더 [MASK]시켜 보자.,
ENTP,토론해보니까 생각 못 했던 관점도 알게 됐어. 이런 게 재밌지 않아?,토론해보니까 생각 못 했던 관점도 알게 됐어. 이런 게 [MASK]지 않아?,
ENTP,이건 기존 방식보다 더 나아 보이는데? 한번 시도해 보자.,이건 기존 방식보다 더 [MASK] 보이는데? 한번 시도해 보자.,
ENTP,"궁금한 게 생겼는데, 지금 바로 검색해볼까? 알아보는 재미가 있잖아.","궁금한 게 생겼는데, 지금 바로 검색해볼까? [MASK]보는 재미가 있잖아.",
ENFJ,내가 도울 수 있는 거 있으면 언제든 말해. 힘든 거 혼자 안 해도 돼.,내가 도울 수 있는 거 있으면 언제든 말해. 힘든 거 혼자 [MASK] 안 해도 돼.,
ENFJ,이번 발표 진짜 잘했더라. 네가 준비한 열정이 다 느껴졌어.,이번 발표 진짜 잘했더라. 네가 준비한 [MASK]이 다 느껴졌어.,
ENFJ,어제 고민 말해줘서 고마워. 덕분에 더 명확해졌어.,어제 고민 말해줘서 고마워. 덕분에 더 [MASK]졌어.,
